{'raw_data_aw_z': -0.1220703125, 'raw_data_aw_y': 0.1220703125, 'raw_data_aw_x': 0.1220703125}
{'raw_data_aw_z': 0.1220703125, 'raw_data_aw_y': 0.0, 'raw_data_aw_x': -0.1220703125}
{'raw_data_aw_z': 0.0, 'raw_data_aw_y': -0.06103515625, 'raw_data_aw_x': 0.0}
{'raw_data_aw_z': -0.06103515625, 'raw_data_aw_y': 0.06103515625, 'raw_data_aw_x': 0.1220703125}
{'raw_data_aw_z': 0.06103515625, 'raw_data_aw_y': -0.06103515625, 'raw_data_aw_x': -0.1220703125}
{'raw_data_aw_z': -0.18310546875, 'raw_data_aw_y': 0.06103515625, 'raw_data_aw_x': 0.1220703125}
{'raw_data_aw_z': 0.0, 'raw_data_aw_y': 0.06103515625, 'raw_data_aw_x': 0.0}
{'raw_data_aw_z': 0.06103515625, 'raw_data_aw_y': -0.06103515625, 'raw_data_aw_x': -0.06103515625}
{'raw_data_aw_z': -0.06103515625, 'raw_data_aw_y': 0.06103515625, 'raw_data_aw_x': 0.1220703125}
{'raw_data_aw_z': 0.06103515625, 'raw_data_aw_y': 0.0, 'raw_data_aw_x': -0.06103515625}
{'raw_data_aw_z': 0.06103515625, 'raw_data_aw_y': 0.0, 'raw_data_aw_x': -0.06103515625}
{'raw_data_aw_z': -0.1220703125, 'raw_data_aw_y': 0.0, 'raw_data_aw_x': 0.06103515625}
{'raw_data_aw_z': -0.1220703125, 'raw_data_aw_y': 0.0, 'raw_data_aw_x': 0.06103515625}
{'raw_data_aw_z': 0.06103515625, 'raw_data_aw_y': 0.0, 'raw_data_aw_x': 0.0}
{'raw_data_aw_z': 0.1220703125, 'raw_data_aw_y': -0.06103515625, 'raw_data_aw_x': -0.06103515625}
{'raw_data_aw_z': -0.06103515625, 'raw_data_aw_y': -0.06103515625, 'raw_data_aw_x': 0.06103515625}
{'raw_data_aw_z': -0.1220703125, 'raw_data_aw_y': 0.0, 'raw_data_aw_x': 0.1220703125}
{'raw_data_aw_z': -0.06103515625, 'raw_data_aw_y': 0.0, 'raw_data_aw_x': 0.0}
{'raw_data_aw_z': 0.0, 'raw_data_aw_y': 0.06103515625, 'raw_data_aw_x': -0.06103515625}
{'raw_data_aw_z': 0.1220703125, 'raw_data_aw_y': 0.0, 'raw_data_aw_x': -0.06103515625}
{'raw_data_aw_z': 0.0, 'raw_data_aw_y': -0.06103515625, 'raw_data_aw_x': 0.0}
{'raw_data_aw_z': -0.1220703125, 'raw_data_aw_y': 0.0, 'raw_data_aw_x': 0.06103515625}
{'raw_data_aw_z': 0.0, 'raw_data_aw_y': 0.0, 'raw_data_aw_x': -0.1220703125}
{'raw_data_aw_z': 0.0, 'raw_data_aw_y': 0.0, 'raw_data_aw_x': -0.06103515625}
{'raw_data_aw_z': -0.1220703125, 'raw_data_aw_y': -0.06103515625, 'raw_data_aw_x': 0.1220703125}
{'raw_data_aw_z': 0.0, 'raw_data_aw_y': 0.0, 'raw_data_aw_x': 0.0}
{'raw_data_aw_z': 0.1220703125, 'raw_data_aw_y': 0.0, 'raw_data_aw_x': -0.06103515625}
{'raw_data_aw_z': 0.0, 'raw_data_aw_y': 0.06103515625, 'raw_data_aw_x': 0.0}
{'raw_data_aw_z': 0.0, 'raw_data_aw_y': 0.0, 'raw_data_aw_x': 0.0}
